Taxa,Area,B_glucan,Circularity,Diameter,DTH,Fe,FLA,FLH,GpS,GWS,GY,HW,Length,Length_Wid,PdH,PdL,Perimeter,PH,Protein,SL,TKW,width,Zn
G253,21.79992,6.553255,1.657686,5.276228,79.28192,35.49261,13.338114,66.23308,23.77317,0.9050782,0.9274704,63.12131,9.45084,2.800634,61.2285,-4.829935,26.74054,70.34765,15.10091,8.987453,32.1574,3.463952,33.08182
G254,22.87899,6.641778,2.189739,5.341479,72.40451,28.5251,14.083737,72.73336,55.73726,1.9942534,1.5797732,53.28091,11.438137,3.788873,81.39782,9.314175,31.17373,87.18409,14.03809,5.751252,30.52671,3.135567,31.38441
G255,28.40349,6.431527,1.814961,5.99466,74.78227,31.1165,10.406373,68.52508,25.8953,1.2189699,0.7602845,56.97106,11.461391,3.071026,75.86267,6.917798,31.6784,84.85636,14.31762,8.730057,33.18038,3.795735,33.86002
G256,26.68488,5.678337,1.709571,5.644301,80.03922,34.51289,10.930191,66.29479,16.45829,0.8459922,1.6142382,63.28053,10.550334,2.905986,57.16593,-9.539845,29.51569,67.32581,15.31769,10.262084,37.98417,3.740134,32.00849
G257,20.01306,6.295697,1.56391,5.028571,75.77025,34.36274,12.388947,72.10212,21.57378,0.8348031,1.1984927,63.62022,8.847865,2.667496,68.68141,-3.90877,24.78541,78.71808,14.82001,10.019518,36.52449,3.385304,31.18132
G258,20.5718,1.467815,1.50313,5.077975,84.54601,41.99662,20.947224,56.34074,20.52487,0.7771768,0.4985915,66.10315,8.579199,2.468438,51.20958,-3.898814,24.48063,60.69858,16.82832,9.595345,31.93737,3.553962,28.36671
G259,23.29905,6.60732,1.588334,5.459592,73.72619,36.68224,10.980368,61.69615,26.89702,1.284554,1.5024117,66.23795,9.611135,2.644748,67.72712,5.228059,27.22508,76.14295,15.23394,8.233806,38.31755,3.714116,32.42514
G260,23.96823,7.419975,1.768259,5.511957,78.41794,31.89718,9.790783,56.01198,22.42039,1.0170024,1.4569975,62.24646,10.265031,2.879184,59.77042,4.848115,28.7585,67.60791,14.32662,7.941742,31.3596,3.629087,31.57196
G261,25.37573,5.635022,1.677047,5.709323,77.54165,29.68642,8.913262,62.77253,29.46389,1.3879131,1.0424576,63.43053,10.274292,2.725748,67.92128,4.722651,29.03,77.62947,14.25455,9.900436,33.46719,3.851224,31.29873
G262,24.98447,6.962359,1.602166,5.648881,76.55971,30.75313,15.192684,62.32812,28.49222,1.5018668,1.1441739,63.75172,9.849497,2.607573,63.68268,2.351324,28.26866,72.69386,14.01283,9.01072,38.63066,3.844024,30.67635
G263,23.79806,6.260844,1.629184,5.469645,79.47709,32.47188,16.750337,59.48982,27.42913,1.1210543,1.2177692,60.03959,9.637308,2.662364,57.44378,-2.664713,27.73678,66.24287,14.70766,8.493296,32.21507,3.751008,34.8215
G264,24.81622,4.932272,1.646601,5.608546,78.73206,36.60634,10.247324,56.59049,30.01375,1.3661883,1.1006018,64.33004,9.873196,2.58758,55.26345,-1.250433,28.52539,64.33266,15.30492,8.952209,37.48139,3.899052,33.90772
G265,21.82168,7.862852,1.774919,5.220342,77.88503,29.91785,12.30868,53.79129,41.63849,1.2239352,1.091426,62.46545,9.675789,2.889061,55.32493,2.006863,27.42884,63.44681,14.28488,7.997833,33.11355,3.436063,35.819
G266,22.92131,6.936948,1.598062,5.392251,79.41159,36.42288,9.656342,60.64069,25.6112,1.0515378,1.3350524,63.87223,9.525988,2.677836,54.90901,-4.701929,26.912,63.77696,15.5217,8.561165,32.5838,3.637662,35.93838
G267,23.32122,5.238181,1.646008,5.453358,77.73576,31.86595,9.229692,53.61756,22.70311,0.8332547,1.5713046,64.71988,9.692211,2.790633,50.7789,-3.286882,27.22874,60.09392,14.63149,9.290801,32.51589,3.509474,31.71
G268,25.24806,5.812079,1.672076,5.685602,73.36367,35.82114,17.748907,58.9411,34.33035,1.6457315,1.1392035,61.6194,10.21323,2.747814,64.69351,6.184772,29.03247,72.20279,15.63638,7.37938,36.26496,3.764463,32.88108
