germplasmName	CROP	CROSS/ENTRY	PLT_SOURCE	SELECTION_HISTORY	SN	Sample BC
X8456542f99fd	Durum wheat	GRS011-095	21140095	GRS011-095 1T-2A-0A-2M-2M	2100692	GWP2100692
X848a216e3e32	Durum wheat	GRS011-0174	21140184	GRS011-0174 1T-2A-0A-1M-1M	2100776	GWP2100776
X84b417d5c711	Bread wheat	GRSW170040	21120060	GRSW170040-M0-M0-M1-M3	2100293	GWP2100293
X84c10359e91f	Durum wheat	GRS011-0258	21260365	GRS011-0258 1T-2A-0A-2M-5SEA	2101685	GWP2101685
X84d815104b88	Bread wheat	-	2113035	1504060-M0-1603041-M0-18070107-M0-20130020-M2-M5	2100596	GWP2100596
X84db19e81ea4	Bread wheat	-	Repl-41	1504027-M0-1603016-M0-18070043-M0-20130008-M2-AN1	2100436	GWP2100436
X84f6b3cbbcc0	Durum wheat	GRS011-0272	21260396	GRS011-0272 1T-2A-0A-1M-2SEA	2101719	GWP2101719
X856daa60256e	Durum wheat	GRS011-0250	21260524	GRS011-0250-1M-1SEA	2101800	GWP2101800
X856e4e16243d	Bread wheat	GRSW170057	21120099	GRSW170057-M0-M0-M1-M5	2100401	GWP2100401
X857ba722e08d	Bread wheat	GRS18-7005	21120047	GRS18-7005-8SB-M1-M3	2100257	GWP2100257
X85db59bb60ff	Durum wheat	GRS011-0262	21140376	GRS011-0262-1M-2M	2101098	GWP2101098
X85f7e852a6ad	Bread wheat	GRS011-0227	21140291	GRS011-0227 1T-1A-0A-1M-1M	2100960	GWP2100960
X862686ac6bbe	Durum wheat	GRS011-0184	21140204	GRS011-0184 1T-1A-0A-1M-2M	2100808	GWP2100808
X8652fd7f95eb	Durum wheat	GRS011-0276	21260409	GRS011-0276 1T-1A-0A-2M-4SEA	2101764	GWP2101764
X867b28dd52a1	Durum wheat	GRS011-0296	21260433	GRS011-0296 1T-3A-0A-1M-2SEA	2101774	GWP2101774
X867fc0ea1ba3	Triticum turgidum subsp. dicoccon	45124	-	-	2101857	GWP2101857
X86893d16d9f9	Durum wheat	GRS011-0240	21260307	GRS011-0240 1T-2A-0A-3M-1SEA	2101622	GWP2101622
X86ab47ad93d3	Bread wheat	GRSW170047	21120070	GRSW170047-M0-M0-M1-M6	2100325	GWP2100325
X86c5eeefff60	Durum wheat	GRS011-022	21260022	GRS011-022-2M-1SEA	2101505	GWP2101505
X86e0ad302bf1	Bread wheat	GRSW170062	20240037	GRSW170062-M0-M0-M1-3SEA	2101868	GWP2101868
X86eb3a32578b	Bread wheat	GRS011-0284	21140420	GRS011-0284 1T-2A-0A-2M-1M	2101178	GWP2101178
X86f31183d003	Durum wheat	GRS011-487	21140450	GRS011-487-2M-2M	2101203	GWP2101203
X87330d59e622	Durum wheat	GRS011-0150	21140151	GRS011-0150-1M-2M	2100761	GWP2100761
X8739de36b058	Durum wheat	GRSW170080	21120126	GRSW170080-M0-M0-M1-M2	2100478	GWP2100478
X8782a22e565e	Durum wheat	GRS011-0256	21260349	GRS011-0256 1T-1A-0A-3M-1SEA	2101663	GWP2101663
X87b956c4d581	Durum wheat	GRS011-0234	21260299	GRS011-0234 1T-2A-0A-3M-1SEA	2101615	GWP2101615
X87c3797b856c	Durum wheat	GRSW170080	21120126	GRSW170080-M0-M0-M1-M4	2100480	GWP2100480
X88339d05bc36	Bread wheat	GRSW170084	Repl-34	GRSW170084-M0-M0-M1-AN1	2100379	GWP2100379
X88748a69e889	Durum wheat	GRS011-0253	21140327	GRS011-0253-1M-4M	2101004	GWP2101004
X8884c9b414a2	Durum wheat	GRS011-465	21260559	GRS011-465 1T-1A-0A-2M-2SEA	2101815	GWP2101815
X88b60de1b47a	Durum wheat	GRS011-0190	21140226	GRS011-0190 1T-3A-0A-3M-1M	2100857	GWP2100857
X88b68d7ad6fe	Durum wheat	GRS011-464	21140576	GRS011-464 1T-1A-0A-2M-1M	2101423	GWP2101423
X88b86540c04e	Durum wheat	GRS011-0138	21140140	GRS011-0138 1T-2A-0A-3M-1M	2100731	GWP2100731
X88c991193306	Durum wheat	GRS011-016	21140011	GRS011-016 1T-3A-0A-2M-1M	2100620	GWP2100620
X88eca7e008e8	Bread wheat	TCI19-7006	2111020	TCI19-7006-M1-M6	2100151	GWP2100151
X8906f31e65c7	Bread wheat	-	2113031	1504023-M0-1603069-M3-18070104-M0-20130018-M1-M4	2100584	GWP2100584
X891e9de2a390	Durum wheat	GRS011-0253	21260330	GRS011-0253-1M-1SEA	2101646	GWP2101646
